# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 1
# model = covid19_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = covid19_model.data.R
# init = covid19_model.init.R
# random
#   seed = -1 (Default)
# output
#   file = sampling.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma,alpha0,beta,I0
# Adaptation terminated
# Step size = 0.215957
# Diagonal elements of inverse mass matrix:
# 0.0706014, 0.00454586, 0.0470025, 0.0148182
-231.514,0.875252,0.215957,4,15,0,233.548,0.208723,0.24612,0.00328928,281.286
-234.937,0.87987,0.215957,4,15,0,235.282,0.225751,0.238721,0.00264907,322.499
-232.68,0.915685,0.215957,4,15,0,237.262,0.217721,0.242245,0.00355686,306.451
-233.648,1,0.215957,4,15,0,236.429,0.16656,0.236361,0.00177204,270.69
-234.879,0.949957,0.215957,4,15,0,235.838,0.160945,0.254077,0.0016119,263.898
-231.856,0.99402,0.215957,4,15,0,235.89,0.198961,0.245753,0.0027556,305.132
-229.889,0.996707,0.215957,4,15,0,233.041,0.172292,0.270499,0.00388291,326.816
-229.819,0.995958,0.215957,4,15,0,230.375,0.151155,0.266894,0.00353027,340.525
-229.542,0.922832,0.215957,3,15,0,232.344,0.137079,0.265498,0.00380107,344.675
-230.357,0.734543,0.215957,2,7,0,232.569,0.122956,0.269234,0.0038084,333.39
-229.65,0.995135,0.215957,3,15,0,230.892,0.162682,0.27296,0.00375813,314.788
-230.026,0.984294,0.215957,2,7,0,230.504,0.150869,0.26431,0.00404749,329.248
-231.342,0.955568,0.215957,4,15,0,231.912,0.125485,0.266635,0.00310819,290.754
-233.301,0.958383,0.215957,4,15,0,233.952,0.252076,0.250584,0.00337669,301.83
-233.748,0.999062,0.215957,3,7,0,234.294,0.241346,0.239289,0.00359469,298.905
-232.242,0.827541,0.215957,4,15,0,236.383,0.235327,0.260883,0.00370069,256.171
-232.279,0.9047,0.215957,4,15,0,235.854,0.218762,0.241499,0.00314323,313.177
-230.499,0.992583,0.215957,4,23,0,233.093,0.145459,0.277168,0.00396909,288.258
-230.19,0.99828,0.215957,3,15,0,232.943,0.155096,0.256001,0.00274415,292.624
